# Expression Atlas
# Query: Genes matching: 'default query', specifically expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-3719
# Selected columns: 6 (all)
# Timestamp: Fri, 24-Aug-2018 23:20:29
Gene ID	Gene Name	brain	cerebellum	heart	kidney	liver	testis
ENSMODG00000000236	GPR83	6.0	0.1				0.1
ENSMODG00000000237	ENSMODG00000000237	2.0	3.0	2.0	0.6	0.5	707.0
ENSMODG00000000241	ENSMODG00000000241	0.2	1.0		3.0	0.3	
ENSMODG00000000242	ENSMODG00000000242	60.0	58.0	0.8	5.0	1.0	0.8
ENSMODG00000000243	SHISA6	5.0	27.0				0.9
ENSMODG00000000244	ENSMODG00000000244	75.0	108.0	85.0	226.0	142.0	158.0
ENSMODG00000000245	GLI2	3.0	1.0	0.2	1.0	0.2	3.0
ENSMODG00000000246	ENSMODG00000000246	7.0	16.0	3.0	4.0	1.0	10.0
ENSMODG00000000247	SRC	65.0	92.0	3.0	13.0	10.0	7.0
ENSMODG00000000248	ENSMODG00000000248	2.0	0.7	0.2	0.1	0.5	1.0
ENSMODG00000000249	RMDN3	105.0	308.0	60.0	247.0	326.0	231.0
ENSMODG00000000250	USP54	50.0	46.0	6.0	9.0	2.0	13.0
ENSMODG00000000252	ENSMODG00000000252	9.0	15.0	19.0	9.0	6.0	8.0
ENSMODG00000000253	MANBAL	32.0	19.0	8.0	11.0	14.0	9.0
ENSMODG00000000254	INHBB	6.0	10.0	0.5	0.8		0.4
ENSMODG00000000255	ENSMODG00000000255	14.0	27.0	12.0	17.0	7.0	16.0
ENSMODG00000000256	ENSMODG00000000256	29.0	30.0	6.0	22.0	13.0	9.0
ENSMODG00000000260	IZUMO1R	0.2	0.1				0.1
ENSMODG00000000261	ENSMODG00000000261	4.0	0.5		0.1		2.0
ENSMODG00000000264	RALB	40.0	19.0	15.0	15.0	10.0	50.0
ENSMODG00000000265	ENSMODG00000000265	10.0	9.0	0.3	1.0		184.0
ENSMODG00000000267	ENSMODG00000000267			0.2			
ENSMODG00000000268	RAD51	1.0	1.0	1.0	1.0	2.0	68.0
ENSMODG00000000271	ENSMODG00000000271	3.0	1.0	0.1			95.0
ENSMODG00000000272	MYOZ1	0.1		0.1			
ENSMODG00000000273	ENSMODG00000000273	38.0	38.0	14.0	41.0	21.0	54.0
ENSMODG00000000274	ENSMODG00000000274	0.5	2.0	0.1	0.3	0.2	0.4
ENSMODG00000000275	ENSMODG00000000275	872.0	1004.0	917.0	2266.0	1645.0	436.0
ENSMODG00000000278	PANX1	2.0	4.0	0.2	0.4	1.0	2.0
ENSMODG00000000279	ENSMODG00000000279	57.0	44.0	18.0	18.0	6.0	44.0
ENSMODG00000000280	ENSMODG00000000280	223.0	591.0	125.0	305.0	171.0	359.0
ENSMODG00000000281	ENSMODG00000000281	4.0	2.0	4.0	7.0	2.0	2.0
ENSMODG00000000285	CYR61	3.0	0.7	10.0	19.0	6.0	10.0
ENSMODG00000000288	ENSMODG00000000288	0.4	0.7	0.1	1.0		3.0
ENSMODG00000000289	JAZF1	30.0	8.0	8.0	72.0	3.0	38.0
ENSMODG00000000290	ENSMODG00000000290	10.0	6.0	14.0	11.0	9.0	9.0
ENSMODG00000000291	SYNPO2L	0.1	0.1	39.0	0.3		
ENSMODG00000000292	DDAH1	77.0	30.0	7.0	107.0	99.0	19.0
ENSMODG00000000294	ENSMODG00000000294	0.6	0.9	0.1	0.3	0.2	19.0
ENSMODG00000000298	ENSMODG00000000298	30.0	10.0	0.4	2.0	0.6	136.0
ENSMODG00000000299	BCL10	4.0	3.0	3.0	6.0	4.0	4.0
ENSMODG00000000300	RPUSD2	3.0	4.0	2.0	3.0	4.0	3.0
ENSMODG00000000302	C1orf52	14.0	11.0	4.0	5.0	3.0	4.0
ENSMODG00000000303	CCDC32	55.0	32.0	17.0	29.0	11.0	26.0
ENSMODG00000000304	ENSMODG00000000304				0.1	0.1	0.7
ENSMODG00000000305	ENSMODG00000000305	10.0	12.0	10.0	10.0	8.0	18.0
ENSMODG00000000306	CELF4	159.0	201.0		0.1	0.1	0.3
ENSMODG00000000307	ENSMODG00000000307					2.0	0.2
ENSMODG00000000308	INPP4B	5.0	13.0	4.0	3.0	0.7	57.0
ENSMODG00000000309	SUSD2	23.0	35.0	2.0	375.0	0.2	1.0
ENSMODG00000000311	SYDE2	3.0	2.0	6.0	18.0	1.0	1.0
ENSMODG00000000312	ENSMODG00000000312	9.0	0.4	0.1			0.5
ENSMODG00000000314	RPN2	93.0	108.0	46.0	149.0	114.0	169.0
ENSMODG00000000315	ENSMODG00000000315	57.0	70.0	171.0	148.0	70.0	161.0
ENSMODG00000000316	BAHD1	17.0	21.0	5.0	10.0	5.0	20.0
ENSMODG00000000317	ENSMODG00000000317	7.0	7.0	2.0	4.0	1.0	91.0
ENSMODG00000000318	ENSMODG00000000318	1.0	1.0	7.0	0.8	0.4	6.0
ENSMODG00000000319	USP38	11.0	13.0	7.0	9.0	8.0	135.0
ENSMODG00000000320	PKDCC	9.0	14.0	118.0	127.0	24.0	16.0
ENSMODG00000000321	ENSMODG00000000321	0.5	0.9	0.3	0.1		2.0
ENSMODG00000000322	ENSMODG00000000322		0.3	0.2			0.1
